video_id,comment_count,sentiment_mean,sentiment_median,sentiment_std,positive_ratio,negative_ratio,rating,revenue,success
-GQjm4TrQIM,40,0.16791,0.0,0.36933602433528584,0.45,0.125,6.2,77.04,0
-gD-ywBXQns,1,-0.5859,-0.5859,,0.0,1.0,6.0,27.36,0
0A5rvlALfBk,2,0.0,0.0,0.0,0.0,0.0,6.1,47.95,0
17Mj1VQBvss,45,0.16444222222222224,0.0,0.4101258778433368,0.4444444444444444,0.17777777777777778,7.4,486.29,0
1FuH-Oc6N-w,19,0.10612105263157894,0.0,0.37669030099738043,0.3157894736842105,0.21052631578947367,6.4,55.12,0
1LxNRKuWZZ8,39,0.17984871794871796,0.0,0.40362108590255197,0.48717948717948717,0.15384615384615385,5.7,0.54,0
1PBPQAvAJX4,1,0.0,0.0,,0.0,0.0,7.2,0.25,0
1WpAu57nKDk,43,0.11590465116279071,0.0,0.43733233464978616,0.3953488372093023,0.20930232558139536,5.8,3.91,0
1ilzSwIDDFw,13,0.23566153846153848,0.0,0.37933611863021416,0.3076923076923077,0.0,5.8,54.73,0
1l-x1QK37iE,15,0.12572666666666665,0.0,0.31477324824311836,0.4666666666666667,0.2,7.5,234.02,1
1rPo1yJAU7Q,64,0.182284375,0.0,0.4045376989981456,0.421875,0.15625,8.1,341.26,1
28G4aGYUAcY,100,0.04383600000000001,0.0,0.41227001314843903,0.31,0.26,6.3,97.66,0
2j2VeWFo8WU,58,-0.0003137931034482729,0.0,0.4247362746037915,0.3448275862068966,0.27586206896551724,7.9,532.17,1
2s5ZA2BJHOM,100,0.189415,0.0,0.44638122298924476,0.41,0.17,7.5,234.02,1
3hZYCzMkVJA,6,0.24045000000000002,0.12875,0.3025106394823164,0.5,0.0,5.1,20.75,0
494tMoJVyWk,16,0.14665,0.0,0.5009572010993886,0.4375,0.1875,4.7,28.84,0
4j421Q3Blwc,100,0.33198099999999997,0.3962,0.395003629620199,0.63,0.1,7.3,57.64,0
4jhSj_wG-sM,18,0.2962611111111111,0.2841,0.45517693668815257,0.6666666666666666,0.16666666666666666,6.9,93.38,0
